id,Ward,Jeff Wright,Brittany Kinser,Jill Underly,write-in:
13059,City of Milwaukee Ward 111 ,13,10,32,0
13062,City of Milwaukee Ward 112 ,5,3,8,0
13065,City of Milwaukee Ward 113 ,3,8,10,0
13068,City of Milwaukee Ward 114 ,3,1,15,0
13071,City of Milwaukee Ward 115 ,12,7,23,0
13074,City of Milwaukee Ward 116 ,6,5,11,0
13077,City of Milwaukee Ward 117 ,9,3,19,0
13080,City of Milwaukee Ward 118 ,10,4,19,0
13083,City of Milwaukee Ward 119 ,63,12,99,0
13086,City of Milwaukee Ward 120 ,22,12,31,1
13089,City of Milwaukee Ward 121 ,97,24,189,0
13092,City of Milwaukee Ward 122 ,112,26,187,0
13095,City of Milwaukee Ward 123 ,119,37,205,1
13098,City of Milwaukee Ward 124 ,85,22,208,2
13101,City of Milwaukee Ward 125 ,98,23,187,1
13104,City of Milwaukee Ward 126 ,26,5,52,0
13107,City of Milwaukee Ward 127 ,113,59,226,1
13110,City of Milwaukee Ward 128 ,206,84,335,1
13113,City of Milwaukee Ward 129 ,50,19,102,2
13116,City of Milwaukee Ward 130 ,72,19,110,0
13119,City of Milwaukee Ward 131 ,100,36,126,0
13122,City of Milwaukee Ward 132 ,53,24,135,0
13125,City of Milwaukee Ward 133 ,62,20,90,2
13128,City of Milwaukee Ward 134 ,92,26,167,1
13131,City of Milwaukee Ward 135 ,68,15,147,0
13134,City of Milwaukee Ward 136 ,9,8,18,0
13137,City of Milwaukee Ward 137 ,12,12,27,1
13140,City of Milwaukee Ward 138 ,17,10,16,0
13143,City of Milwaukee Ward 139 ,4,6,15,0
13146,City of Milwaukee Ward 140 ,13,8,24,0
13149,City of Milwaukee Ward 141 ,12,6,18,0
13152,City of Milwaukee Ward 142 ,4,3,8,0
13155,City of Milwaukee Ward 143 ,9,9,9,0
13158,City of Milwaukee Ward 144 ,15,11,16,0
13161,City of Milwaukee Ward 145 ,9,3,15,1
13164,City of Milwaukee Ward 146 ,9,16,18,0
13167,City of Milwaukee Ward 147 ,4,1,5,0
13170,City of Milwaukee Ward 148 ,3,3,9,1
13173,City of Milwaukee Ward 149 ,15,9,47,0
13176,City of Milwaukee Ward 150 ,12,8,28,0
13179,City of Milwaukee Ward 151 ,0,4,10,0
13182,City of Milwaukee Ward 152 ,13,9,21,1
13185,City of Milwaukee Ward 153 ,23,10,31,0
13188,City of Milwaukee Ward 154 ,13,5,19,1
13191,City of Milwaukee Ward 155 ,7,21,22,0
13194,City of Milwaukee Ward 156 ,51,26,65,0
13197,City of Milwaukee Ward 157 ,7,5,21,0
13200,City of Milwaukee Ward 158 ,34,19,55,0
13203,City of Milwaukee Ward 159 ,3,4,12,0
13206,City of Milwaukee Ward 160 ,16,8,22,0
13209,City of Milwaukee Ward 161 ,25,11,29,0
13212,City of Milwaukee Ward 162 ,61,19,91,0
13215,City of Milwaukee Ward 163 ,50,23,95,0
13218,City of Milwaukee Ward 164 ,135,56,256,0
13221,City of Milwaukee Ward 165 ,5,3,12,1
13224,City of Milwaukee Ward 166 ,9,2,11,0
13227,City of Milwaukee Ward 167 ,0,2,2,0
13230,City of Milwaukee Ward 168 ,6,9,32,0
13233,City of Milwaukee Ward 169 ,6,4,27,0
13236,City of Milwaukee Ward 170 ,19,11,33,0
13239,City of Milwaukee Ward 171 ,26,11,22,0
13242,City of Milwaukee Ward 172 ,8,8,19,0
13245,City of Milwaukee Ward 173 ,127,28,121,1
13248,City of Milwaukee Ward 174 ,105,43,143,0
13251,City of Milwaukee Ward 175 ,144,39,219,2
13254,City of Milwaukee Ward 176 ,89,29,142,0
13257,City of Milwaukee Ward 177 ,150,56,218,0
13260,City of Milwaukee Ward 178 ,96,36,119,3
13263,City of Milwaukee Ward 179 ,66,12,139,3
13266,City of Milwaukee Ward 180 ,66,41,93,0
13269,City of Milwaukee Ward 181 ,87,19,91,0
13272,City of Milwaukee Ward 182 ,38,14,46,0
13275,City of Milwaukee Ward 183 ,20,4,25,0
13278,City of Milwaukee Ward 184 ,14,8,24,0
13281,City of Milwaukee Ward 185 ,6,12,16,0
13284,City of Milwaukee Ward 186 ,8,8,16,0
13287,City of Milwaukee Ward 187 ,17,5,18,0
13290,City of Milwaukee Ward 188 ,5,8,23,0
13293,City of Milwaukee Ward 189 ,19,7,28,0
13296,City of Milwaukee Ward 190 ,3,4,7,0
13299,City of Milwaukee Ward 191 ,3,2,1,0
13302,City of Milwaukee Ward 192 ,4,2,7,0
13305,City of Milwaukee Ward 193 ,17,18,27,1
13308,City of Milwaukee Ward 194 ,7,8,24,0
13311,City of Milwaukee Ward 195 ,39,12,63,1
13314,City of Milwaukee Ward 196 ,7,6,28,0
13317,City of Milwaukee Ward 197 ,4,5,9,0
13320,City of Milwaukee Ward 198 ,42,16,66,0
13323,City of Milwaukee Ward 199 ,95,42,186,0
13326,City of Milwaukee Ward 200 ,44,16,65,0
13329,City of Milwaukee Ward 201 ,52,33,93,0
13332,City of Milwaukee Ward 202 ,20,28,51,0
13335,City of Milwaukee Ward 203 ,38,31,63,0
13338,City of Milwaukee Ward 204 ,30,37,37,0
13341,City of Milwaukee Ward 205 ,28,28,22,0
13344,City of Milwaukee Ward 206 ,15,20,31,1
13347,City of Milwaukee Ward 207 ,15,26,41,0
